Id,Label,timeset,degree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,componentnumber,eigencentrality,clustering,triangles
141518,141518,,445,1258144,2,0.8482,0.910517,30.257936,0.042909,0.042909,21,0,0.890304,0.922867,91170
160976,160976,,483,4937525,2,0.90183,0.945572,22.876767,0.046927,0.046927,21,0,0.973519,0.936651,109029
141523,141523,,503,5819173,2,0.932874,0.964022,50.125285,0.047995,0.047995,21,0,0.995903,0.903242,114037
73943,73943,,481,3760211,3,0.897351,0.943419,49.67233,0.04611,0.04611,3,0,0.956798,0.913652,105472
141531,141531,,505,4156605,2,0.936097,0.965867,68.760286,0.047974,0.047974,21,0,0.995546,0.895678,113984
132056,132056,,0,0,0,0,0,0,0,0,10,11,0,0,0
204496,204496,,482,4935730,2,0.900332,0.944649,22.770376,0.04684,0.04684,21,0,0.971717,0.936931,108610
141546,141546,,0,0,0,0,0,0,0,0,11,12,0,0,0
69871,69871,,471,3005496,2,0.884176,0.934502,54.855112,0.044981,0.044981,3,0,0.933463,0.90856,100564
141552,141552,,353,4709,3,0.737415,0.824416,1.598232,0.034956,0.034956,22,0,0.724923,0.991582,61605
141553,141553,,486,4155092,2,0.906355,0.948339,26.017501,0.047091,0.047091,21,0,0.976968,0.931458,109777
141555,141555,,485,4816928,2,0.904841,0.947417,35.832806,0.046697,0.046697,21,0,0.968892,0.920158,107999
141556,141556,,0,0,0,0,0,0,0,0,12,13,0,0,0
194260,194260,,489,5708248,2,0.910924,0.951107,27.236021,0.047317,0.047317,3,0,0.981649,0.928853,110827
178901,178901,,24,126,3,0.505126,0.518143,23.934226,0.000914,0.000914,18,0,0.019323,0.67029,185
160575,160575,,412,2128246,3,0.805349,0.879766,24.674965,0.039819,0.039819,3,0,0.826291,0.93824,79437
74283,74283,,185,651023,3,0.595604,0.667282,8.721453,0.016716,0.016716,3,0,0.347321,0.928085,15796
204503,204503,,370,2158284,3,0.758042,0.841021,27.232209,0.0355,0.0355,3,0,0.736799,0.935706,63876
66828,66828,,471,1652302,2,0.884176,0.934502,30.592082,0.045542,0.045542,21,0,0.944844,0.928906,102816
